time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-16T04:36:30.536Z,11.8598,141.1943,10,5.1,mb,39,107,3.976,1.24,us,us7000i8gg,2022-09-22T04:46:37.148Z,"State of Yap, Federated States of Micronesia",earthquake,11.04,1.901,0.042,186,reviewed,us,us
2022-09-14T11:04:07.447Z,-21.1908,170.2397,144.885,7,mww,197,45,2.955,0.65,us,us7000i7ya,2022-09-15T11:16:48.063Z,"208 km SSE of Isangel, Vanuatu",earthquake,6.33,4.036,0.047,43,reviewed,us,us
2022-09-14T08:44:35.722Z,12.5473,-87.8284,69.281,5.3,mww,95,109,0.802,1.43,us,us7000i7w6,2022-09-16T21:59:17.020Z,"46 km WSW of Jiquilillo, Nicaragua",earthquake,5.89,5.852,0.042,54,reviewed,us,us
2022-09-14T05:08:05.350Z,-16.8505,-168.815,10,5.8,mww,77,50,2.678,0.87,us,us7000i7uj,2022-09-22T05:18:09.714Z,"299 km SSE of Ta`?, American Samoa",earthquake,8.52,1.847,0.093,11,reviewed,us,us
2022-09-14T04:05:42.495Z,12.0075,143.5846,26.954,5.3,mww,75,31,2.01,0.78,us,us7000i7u8,2022-09-22T04:15:49.986Z,"182 km SW of Merizo Village, Guam",earthquake,9.33,3.65,0.089,12,reviewed,us,us
2022-09-13T20:32:45.628Z,-56.5518,-25.5729,26.702,5.1,mb,52,92,6.617,0.79,us,us7000i7rn,2022-09-15T14:09:40.040Z,South Sandwich Islands region,earthquake,11.14,4.266,0.088,45,reviewed,us,us
2022-09-13T18:41:19.226Z,7.2204,-82.3148,16.605,5.2,mww,175,55,1.546,0.88,us,us7000i7qe,2022-09-21T03:12:15.923Z,"108 km SE of Burica, Panama",earthquake,5.14,3.473,0.046,46,reviewed,us,us
2022-09-13T18:34:39.158Z,-20.3918,-11.7081,10,5.1,mww,101,65,7.18,0.7,us,us7000i7qg,2022-09-15T14:59:25.040Z,southern Mid-Atlantic Ridge,earthquake,10.54,1.855,0.093,11,reviewed,us,us
2022-09-13T09:05:05.469Z,-22.9185,-178.4881,396.9,5,mb,61,69,6.085,1.28,us,us7000i7kx,2022-09-13T09:23:18.040Z,,earthquake,10.84,7.529,0.029,381,reviewed,us,us
2022-09-13T03:38:53.430Z,-58.6201,-16.1177,10,5,mb,58,50,14.182,0.71,us,us7000i7j6,2022-09-22T02:38:21.040Z,,earthquake,9.76,1.615,0.086,43,reviewed,us,us
2022-09-13T00:51:59.324Z,41.5429,142.1308,58.577,5.2,mww,140,94,0.901,0.77,us,us7000i7i8,2022-09-13T01:37:47.822Z,"81 km ENE of Mutsu, Japan",earthquake,6.17,4.413,0.071,19,reviewed,us,us
